# Re_Psi, Im_Psi, Time
-2.235588972431077792e+00 -7.279487421700776839e-02 -3.812218613130956280e-02
-2.215538847117794585e+00 -7.267857486464997241e-02 -4.583176166785855182e-02
-2.195488721804511378e+00 -7.188262146502841232e-02 -5.383585018369128200e-02
-2.175438596491228171e+00 -7.035482917085636445e-02 -6.208332405620939354e-02
-2.155388471177944965e+00 -6.804603335326078750e-02 -7.051629497427240600e-02
-2.135338345864661758e+00 -6.491085740364134493e-02 -7.907018489757167146e-02
-2.115288220551378551e+00 -6.090849792041846261e-02 -8.767387759433274697e-02
-2.095238095238095344e+00 -5.600351933545684446e-02 -9.624995506492828312e-02
-2.075187969924812137e+00 -5.016664933329356008e-02 -1.047150224254323747e-01
-2.055137844611528930e+00 -4.337556577634053834e-02 -1.129801239925735251e-01
-2.035087719298245723e+00 -3.561566528397520220e-02 -1.209512523842784237e-01
-2.015037593984962516e+00 -2.688080313572670244e-02 -1.285299514340036420e-01
-1.994987468671679309e+00 -1.717399379109111127e-02 -1.356140126199528173e-01
-1.974937343358396102e+00 -6.508061052781713776e-03 -1.420982635413496620e-01
-1.954887218045112895e+00 5.093773242425291871e-03 -1.478754457441015524e-01
-1.934837092731829689e+00 1.759737313051847052e-02 -1.528371779199268754e-01
-1.914786967418546482e+00 3.095725601730436524e-02 -1.568749991903292673e-01
-1.894736842105263275e+00 4.511625447586729842e-02 -1.598814858550511864e-01
-1.874686716791980068e+00 6.000528261669794278e-02 -1.617514336504634054e-01
-1.854636591478696861e+00 7.554321670520024179e-02 -1.623830962444598736e-01
-1.834586466165413654e+00 9.163689894198888408e-02 -1.616794694094379758e-01
-1.814536340852130447e+00 1.081812724003686638e-01 -1.595496090831544089e-01
-1.794486215538847240e+00 1.250596540349185604e-01 -1.559099703683770322e-01
-1.774436090225564033e+00 1.421441514398304462e-01 -1.506857534562316414e-01
-1.754385964912280826e+00 1.592962276526453946e-01 -1.438122415047674296e-01
-1.734335839598997620e+00 1.763674167778413460e-01 -1.352361146829727523e-01
-1.714285714285714413e+00 1.932001915573820783e-01 -1.249167239199763385e-01
-1.694235588972431206e+00 2.096289822563185412e-01 -1.128273073971914203e-01
-1.674185463659147999e+00 2.254813443776908788e-01 -9.895613250409103501e-02
-1.654135338345864792e+00 2.405792707914443662e-01 -8.330754586090352576e-02
-1.634085213032581585e+00 2.547406418780741033e-01 -6.590291410660710503e-02
-1.614035087719298378e+00 2.677808052724309773e-01 -4.678143846877695633e-02
-1.593984962406015171e+00 2.795142747714089437e-01 -2.600082668118412071e-02
-1.573934837092731964e+00 2.897565359673899832e-01 -3.637806600899852385e-03
-1.553884711779448757e+00 2.983259442147673801e-01 2.021153309861686495e-02
-1.533834586466165550e+00 3.050456986578068963e-01 4.543158851918380897e-02
-1.513784461152882344e+00 3.097458742731801218e-01 7.188728427831624079e-02
-1.493734335839599137e+00 3.122654922383851783e-01 9.942432553928245986e-02
-1.473684210526315930e+00 3.124546074562576381e-01 1.278696665331895965e-01
-1.453634085213032723e+00 3.101763907733721126e-01 1.570322016361964945e-01
-1.433583959899749516e+00 3.053091823526176141e-01 1.867036827428487922e-01
-1.413533834586466309e+00 2.977484918222038646e-01 2.166598641930146674e-01
-1.393483709273183102e+00 2.874089202473359417e-01 2.466618738895883789e-01
-1.373433583959899895e+00 2.742259786767733409e-01 2.764578065146829911e-01
-1.353383458646616688e+00 2.581577780215531526e-01 3.057845319438807774e-01
-1.333333333333333481e+00 2.391865653410790438e-01 3.343697091041646918e-01
-1.313283208020050274e+00 2.173200822527114051e-01 3.619339926564292265e-01
-1.293233082706767068e+00 1.925927221511331000e-01 3.881934170447043364e-01
-1.273182957393483861e+00 1.650664642251062908e-01 4.128619396794091512e-01
-1.253132832080200654e+00 1.348315638893533563e-01 4.356541223498531790e-01
-1.233082706766917447e+00 1.020069812012015936e-01 4.562879274308576649e-01
-1.213032581453634240e+00 6.674053109367480974e-02 4.744876030985163973e-01
-1.192982456140351033e+00 2.920874181255874585e-02 4.899866296386581332e-01
-1.172932330827067826e+00 -1.038358922637070379e-02 5.025306970550018626e-01
-1.152882205513784619e+00 -5.180414986780192826e-02 5.118806825967955332e-01
-1.132832080200501412e+00 -9.479418234946472566e-02 5.178155955598565674e-01
-1.112781954887218205e+00 -1.390698680743856219e-01 5.201354557992116101e-01
-1.092731829573934998e+00 -1.843240253377427251e-01 5.186640718511803527e-01
-1.072681704260651792e+00 -2.302281135959685643e-01 5.132516844188502736e-01
-1.052631578947368585e+00 -2.764345340778679994e-01 5.037774412439579574e-01
-1.032581453634085378e+00 -3.225792127354716876e-01 4.901516700817928895e-01
-1.012531328320802171e+00 -3.682844477644102166e-01 4.723179176201044993e-01
-9.924812030075189639e-01 -4.131620002392732971e-01 4.502547237388158652e-01
-9.724310776942357570e-01 -4.568164028587839431e-01 4.239771024894972706e-01
-9.523809523809525501e-01 -4.988484584286240198e-01 3.935377035710592164e-01
-9.323308270676693432e-01 -5.388588965755310989e-01 3.590276308740280586e-01
-9.122807017543861363e-01 -5.764521543324391262e-01 3.205768978372565692e-01
-8.922305764411029294e-01 -6.112402437063166882e-01 2.783545028794118803e-01
-8.721804511278197225e-01 -6.428466671803275689e-01 2.325681119989624901e-01
-8.521303258145365156e-01 -6.709103403487776118e-01 1.834633397413287237e-01
-8.320802005012533087e-01 -6.950894795714460672e-01 1.313226240661966582e-01
-8.120300751879701018e-01 -7.150654116929058279e-01 7.646369516323481275e-02
-7.919799498746868949e-01 -7.305462625264118603e-01 1.923764290828098786e-02
-7.719298245614036880e-01 -7.412704809690662255e-01 -3.997340763096637883e-02
-7.518796992481204811e-01 -7.470101563070544737e-01 -1.007589984985686055e-01
-7.318295739348372742e-01 -7.475740874919527545e-01 -1.626834001344366620e-01
-7.117794486215540672e-01 -7.428105649196069526e-01 -2.252890082275104677e-01
-6.917293233082708603e-01 -7.326098275130493720e-01 -2.881000483099892540e-01
-6.716791979949876534e-01 -7.169061606843168954e-01 -3.506265560738324183e-01
-6.516290726817044465e-01 -6.956796040038192297e-01 -4.123685974844015778e-01
-6.315789473684212396e-01 -6.689572411100714877e-01 -4.728206892002101425e-01
-6.115288220551380327e-01 -6.368140485105047155e-01 -5.314763766350907304e-01
-5.914786967418548258e-01 -5.993732844127603876e-01 -5.878329242684312561e-01
-5.714285714285716189e-01 -5.568064035365640763e-01 -6.413960705643845239e-01
-5.513784461152884120e-01 -5.093324889349140072e-01 -6.916847981405241930e-01
-5.313283208020052051e-01 -4.572171971412032909e-01 -7.382360686625200064e-01
-5.112781954887219982e-01 -4.007712183934195038e-01 -7.806094713595070900e-01
-4.912280701754387913e-01 -3.403482592019925201e-01 -8.183917340731873269e-01
-4.711779448621555844e-01 -2.763425600562204876e-01 -8.512010463829770002e-01
-4.511278195488723775e-01 -2.091859665361078258e-01 -8.786911455924545367e-01
-4.310776942355891705e-01 -1.393445774421416261e-01 -9.005551182136585231e-01
-4.110275689223059636e-01 -6.731499870574285393e-02 -9.165288720320424742e-01
-3.909774436090227567e-01 6.379763269894653602e-03 -9.263942368545864392e-01
-3.709273182957395498e-01 8.119473063042685623e-02 -9.299816556073626783e-01
-3.508771929824563429e-01 1.565676630763037092e-01 -9.271724315197558131e-01
-3.308270676691731360e-01 2.319240007579721485e-01 -9.179005016664070205e-01
-3.107769423558899291e-01 3.066819917448905253e-01 -9.021537120839386859e-01
-2.907268170426067222e-01 3.802579520805984270e-01 -8.799745749807235118e-01
-2.706766917293235153e-01 4.520716043507423954e-01 -8.514604941521471959e-01
-2.506265664160403084e-01 5.215514392251995313e-01 -8.167634505341627715e-01
-2.305764411027571015e-01 5.881400436140852284e-01 -7.760891458039751445e-01
-2.105263157894738946e-01 6.512993389170712577e-01 -7.296956079951789631e-01
-1.904761904761906877e-01 7.105156733541558856e-01 -6.778912691606094887e-01
-1.704260651629074808e-01 7.653047135431549908e-01 -6.210325311137919746e-01
-1.503759398496242738e-01 8.152160823253216115e-01 -5.595208411337115884e-01
-1.303258145363410669e-01 8.598376923174811948e-01 -4.937993051535411460e-01
-1.102756892230578600e-01 8.987997277602556290e-01 -4.243488713001294932e-01
-9.022556390977465313e-02 9.317782309024149612e-01 -3.516841216390417246e-01
-7.017543859649144622e-02 9.584982533685008077e-01 -2.763487145456000049e-01
-5.012531328320823931e-02 9.787365376506712566e-01 -1.989105242067802370e-01
-3.007518796992503241e-02 9.923236989897231686e-01 -1.199565273090877487e-01
-1.002506265664182550e-02 9.991458834021083035e-01 -4.008748993758357720e-02
1.002506265664138141e-02 9.991458834021084146e-01 4.008748993758180779e-02
3.007518796992414423e-02 9.923236989897236127e-01 1.199565273090842238e-01
5.012531328320779522e-02 9.787365376506717007e-01 1.989105242067785440e-01
7.017543859649144622e-02 9.584982533685008077e-01 2.763487145456000049e-01
9.022556390977420904e-02 9.317782309024155163e-01 3.516841216390400593e-01
1.102756892230569719e-01 8.987997277602571833e-01 4.243488713001263291e-01
1.303258145363406229e-01 8.598376923174820829e-01 4.937993051535396472e-01
1.503759398496242738e-01 8.152160823253216115e-01 5.595208411337115884e-01
1.704260651629070367e-01 7.653047135431562120e-01 6.210325311137906423e-01
1.904761904761897995e-01 7.105156733541583280e-01 6.778912691606070462e-01
2.105263157894734505e-01 6.512993389170725900e-01 7.296956079951778529e-01
2.305764411027571015e-01 5.881400436140852284e-01 7.760891458039751445e-01
2.506265664160398643e-01 5.215514392252010856e-01 8.167634505341619944e-01
2.706766917293226271e-01 4.520716043507455040e-01 8.514604941521457526e-01
2.907268170426062781e-01 3.802579520806000923e-01 8.799745749807230677e-01
3.107769423558899291e-01 3.066819917448905253e-01 9.021537120839386859e-01
3.308270676691726919e-01 2.319240007579738139e-01 9.179005016664067984e-01
3.508771929824554547e-01 1.565676630763070676e-01 9.271724315197554800e-01
