resolution,bilinear_time,dwsr_time,esrgan_time
5580,0.0030410289764404297,0.6168146133422852,3.6520142555236816
10880,0.0030219554901123047,1.5625920295715332,13.005309104919434
10880,0.0033762454986572266,0.7855908870697021,7.541471004486084
12288,0.004753828048706055,0.7825019359588623,8.316439151763916
12288,0.0057220458984375,1.4423551559448242,15.607423067092896
12288,0.0064868927001953125,1.7241461277008057,16.385259866714478
14464,0.002000093460083008,0.9595839977264404,11.163777112960815
15000,0.0026917457580566406,0.8014819622039795,11.423967123031616
19044,0.002750873565673828,0.7913510799407959,9.879801273345947
20736,0.002790212631225586,0.8908219337463379,11.344880104064941
22500,0.003114938735961914,0.8302531242370605,12.36736798286438
25344,0.005609989166259766,1.6893730163574219,42.66566705703735
36096,0.0035719871520996094,1.083479881286621,20.03697419166565
41216,0.010203838348388672,1.2398290634155273,23.029134273529053
43520,0.0033910274505615234,1.1637578010559082,23.473473072052002
43520,0.0040361881256103516,1.1897058486938477,24.514294147491455
43520,0.003445863723754883,1.331346035003662,24.079769134521484
49152,0.003675222396850586,1.2489721775054932,27.489299058914185
49152,0.004943132400512695,1.4337050914764404,34.47137808799744
52224,0.004658937454223633,1.285400152206421,28.442503929138184
57135,0.008155107498168945,2.892514944076538,61.603307008743286
65536,0.005232810974121094,1.5448880195617676,38.80327606201172
65536,0.006540060043334961,1.7201800346374512,33.60766386985779
65536,0.029820919036865234,3.188033103942871,72.7827250957489
65536,0.010532855987548828,3.4812538623809814,65.28413414955139
65536,0.006247997283935547,1.9970238208770752,45.172183990478516
86592,0.009398937225341797,3.416179895401001,84.00407600402832
90000,0.004266977310180664,2.40877103805542,72.99097990989685
103680,0.04432368278503418,3.832294225692749,119.20899796485901
153600,0.016359806060791016,5.983561992645264,168.15199375152588
172890,0.027476072311401367,4.84987735748291,174.7011342048645
172890,0.013768911361694336,5.67560601234436,182.75847506523132
174420,0.01447296142578125,5.5379860401153564,176.09815287590027
174420,0.03487515449523926,7.885257959365845,163.48966002464294
195840,0.01838827133178711,6.017518043518066,202.11117506027222
262144,0.06807804107666016,12.315144062042236,306.8447518348694
262144,0.01141810417175293,5.628094911575317,270.80134868621826
346368,0.029680728912353516,11.379494190216064,340.443482875824
